Date,Scheme,NAV
2022-05-14,Scheme_01,49.42
2022-05-15,Scheme_01,49.16
2022-05-16,Scheme_01,49.65
2022-05-17,Scheme_01,49.43
2022-05-18,Scheme_01,49.36
2022-05-19,Scheme_01,49.62
2022-05-20,Scheme_01,49.27
2022-05-21,Scheme_01,49.36
2022-05-22,Scheme_01,49.77
2022-05-23,Scheme_01,49.31
2022-05-24,Scheme_01,49.38
2022-05-25,Scheme_01,49.48
2022-05-26,Scheme_01,49.74
2022-05-27,Scheme_01,49.39
2022-05-28,Scheme_01,49.01
2022-05-29,Scheme_01,49.19
2022-05-30,Scheme_01,49.3
2022-05-31,Scheme_01,49.39
2022-06-01,Scheme_01,49.51
2022-06-02,Scheme_01,49.33
2022-06-03,Scheme_01,49.42
2022-06-04,Scheme_01,49.53
2022-06-05,Scheme_01,49.33
2022-06-06,Scheme_01,49.91
2022-06-07,Scheme_01,50.08
2022-06-08,Scheme_01,49.74
2022-06-09,Scheme_01,49.96
2022-06-10,Scheme_01,49.68
2022-06-11,Scheme_01,49.94
2022-06-12,Scheme_01,50.31
2022-06-13,Scheme_01,50.08
2022-06-14,Scheme_01,50.39
2022-06-15,Scheme_01,50.53
2022-06-16,Scheme_01,50.8
2022-06-17,Scheme_01,51.39
2022-06-18,Scheme_01,51.34
2022-06-19,Scheme_01,51.13
2022-06-20,Scheme_01,50.88
2022-06-21,Scheme_01,50.66
2022-06-22,Scheme_01,50.65
2022-06-23,Scheme_01,50.78
2022-06-24,Scheme_01,50.88
2022-06-25,Scheme_01,51.15
2022-06-26,Scheme_01,51.17
2022-06-27,Scheme_01,51.63
2022-06-28,Scheme_01,51.57
2022-06-29,Scheme_01,52.4
2022-06-30,Scheme_01,52.61
2022-07-01,Scheme_01,52.37
2022-07-02,Scheme_01,52.07
2022-07-03,Scheme_01,52.24
2022-07-04,Scheme_01,52.19
2022-07-05,Scheme_01,52.43
2022-07-06,Scheme_01,52.59
2022-07-07,Scheme_01,52.59
2022-07-08,Scheme_01,52.35
2022-07-09,Scheme_01,51.92
2022-07-10,Scheme_01,51.8
2022-07-11,Scheme_01,52.08
2022-07-12,Scheme_01,52.16
2022-07-13,Scheme_01,51.81
2022-07-14,Scheme_01,51.88
2022-07-15,Scheme_01,52.02
2022-07-16,Scheme_01,51.77
2022-07-17,Scheme_01,51.84
2022-07-18,Scheme_01,51.88
2022-07-19,Scheme_01,51.55
2022-07-20,Scheme_01,51.68
2022-07-21,Scheme_01,51.87
2022-07-22,Scheme_01,52.21
2022-07-23,Scheme_01,52.55
2022-07-24,Scheme_01,52.16
2022-07-25,Scheme_01,51.9
2022-07-26,Scheme_01,52.07
2022-07-27,Scheme_01,52.24
2022-07-28,Scheme_01,52.42
2022-07-29,Scheme_01,53.59
2022-07-30,Scheme_01,53.79
2022-07-31,Scheme_01,54.15
2022-08-01,Scheme_01,54.45
2022-08-02,Scheme_01,54.67
2022-08-03,Scheme_01,54.59
2022-08-04,Scheme_01,54.84
2022-08-05,Scheme_01,54.63
2022-08-06,Scheme_01,54.58
2022-08-07,Scheme_01,54.45
2022-08-08,Scheme_01,54.5
2022-08-09,Scheme_01,55.21
2022-08-10,Scheme_01,54.67
2022-08-11,Scheme_01,54.9
2022-08-12,Scheme_01,54.43
2022-08-13,Scheme_01,54.31
2022-08-14,Scheme_01,54.66
2022-08-15,Scheme_01,54.7
2022-08-16,Scheme_01,54.39
2022-08-17,Scheme_01,54.2
2022-08-18,Scheme_01,54.42
2022-08-19,Scheme_01,54.22
2022-08-20,Scheme_01,54.31
2022-08-21,Scheme_01,54.34
2022-08-22,Scheme_01,54.17
2022-08-23,Scheme_01,54.83
2022-08-24,Scheme_01,55.04
2022-08-25,Scheme_01,54.45
2022-08-26,Scheme_01,54.53
2022-08-27,Scheme_01,54.35
2022-08-28,Scheme_01,54.63
2022-08-29,Scheme_01,54.41
2022-08-30,Scheme_01,54.39
2022-08-31,Scheme_01,54.57
2022-09-01,Scheme_01,54.85
2022-09-02,Scheme_01,54.51
2022-09-03,Scheme_01,54.43
2022-09-04,Scheme_01,54.3
2022-09-05,Scheme_01,54.13
2022-09-06,Scheme_01,54.68
2022-09-07,Scheme_01,54.82
2022-09-08,Scheme_01,54.46
2022-09-09,Scheme_01,54.76
2022-09-10,Scheme_01,55.41
2022-09-11,Scheme_01,55.74
2022-09-12,Scheme_01,55.31
2022-09-13,Scheme_01,55.18
2022-09-14,Scheme_01,55.58
2022-09-15,Scheme_01,55.39
2022-09-16,Scheme_01,55.54
2022-09-17,Scheme_01,55.79
2022-09-18,Scheme_01,55.54
2022-09-19,Scheme_01,55.54
2022-09-20,Scheme_01,54.59
2022-09-21,Scheme_01,54.3
2022-09-22,Scheme_01,54.24
2022-09-23,Scheme_01,53.89
2022-09-24,Scheme_01,54.4
2022-09-25,Scheme_01,53.99
2022-09-26,Scheme_01,53.88
2022-09-27,Scheme_01,53.94
2022-09-28,Scheme_01,54.39
2022-09-29,Scheme_01,53.98
2022-09-30,Scheme_01,54.35
2022-10-01,Scheme_01,54.37
2022-10-02,Scheme_01,54.1
2022-10-03,Scheme_01,54.25
2022-10-04,Scheme_01,54.33
2022-10-05,Scheme_01,54.17
2022-10-06,Scheme_01,54.21
2022-10-07,Scheme_01,54.12
2022-10-08,Scheme_01,54.17
2022-10-09,Scheme_01,54.39
2022-10-10,Scheme_01,54.89
2022-10-11,Scheme_01,54.54
2022-10-12,Scheme_01,55.2
2022-10-13,Scheme_01,54.63
2022-10-14,Scheme_01,54.6
2022-10-15,Scheme_01,54.8
2022-10-16,Scheme_01,54.91
2022-10-17,Scheme_01,54.74
2022-10-18,Scheme_01,54.7
2022-10-19,Scheme_01,54.57
2022-10-20,Scheme_01,54.41
2022-10-21,Scheme_01,54.69
2022-10-22,Scheme_01,54.81
2022-10-23,Scheme_01,54.63
2022-10-24,Scheme_01,54.92
2022-10-25,Scheme_01,55.03
2022-10-26,Scheme_01,55.29
2022-10-27,Scheme_01,55.5
2022-10-28,Scheme_01,55.27
2022-10-29,Scheme_01,55.12
2022-10-30,Scheme_01,55.37
2022-10-31,Scheme_01,55.57
2022-11-01,Scheme_01,55.58
2022-11-02,Scheme_01,55.64
2022-11-03,Scheme_01,56.04
2022-11-04,Scheme_01,55.89
2022-11-05,Scheme_01,56.07
2022-11-06,Scheme_01,56.03
2022-11-07,Scheme_01,55.98
2022-11-08,Scheme_01,56.33
2022-11-09,Scheme_01,56.6
2022-11-10,Scheme_01,56.87
2022-11-11,Scheme_01,57.28
2022-11-12,Scheme_01,57.3
2022-11-13,Scheme_01,57.53
2022-11-14,Scheme_01,57.45
2022-11-15,Scheme_01,57.57
2022-11-16,Scheme_01,57.55
2022-11-17,Scheme_01,57.6
2022-11-18,Scheme_01,57.8
2022-11-19,Scheme_01,57.58
2022-11-20,Scheme_01,58.22
2022-11-21,Scheme_01,57.94
2022-11-22,Scheme_01,57.6
2022-11-23,Scheme_01,57.96
2022-11-24,Scheme_01,58.22
2022-11-25,Scheme_01,58.43
2022-11-26,Scheme_01,58.64
2022-11-27,Scheme_01,58.65
2022-11-28,Scheme_01,58.4
2022-11-29,Scheme_01,58.45
2022-11-30,Scheme_01,58.26
2022-12-01,Scheme_01,58.58
2022-12-02,Scheme_01,58.55
2022-12-03,Scheme_01,58.33
2022-12-04,Scheme_01,58.25
2022-12-05,Scheme_01,58.39
2022-12-06,Scheme_01,58.24
2022-12-07,Scheme_01,58.02
2022-12-08,Scheme_01,58.11
2022-12-09,Scheme_01,58.2
2022-12-10,Scheme_01,58.07
2022-12-11,Scheme_01,57.95
2022-12-12,Scheme_01,58.04
2022-12-13,Scheme_01,57.63
2022-12-14,Scheme_01,57.22
2022-12-15,Scheme_01,57.03
2022-12-16,Scheme_01,56.98
2022-12-17,Scheme_01,57.1
2022-12-18,Scheme_01,57.56
2022-12-19,Scheme_01,57.84
2022-12-20,Scheme_01,57.81
2022-12-21,Scheme_01,57.82
2022-12-22,Scheme_01,57.54
2022-12-23,Scheme_01,57.56
2022-12-24,Scheme_01,57.49
2022-12-25,Scheme_01,57.61
2022-12-26,Scheme_01,57.38
2022-12-27,Scheme_01,57.55
2022-12-28,Scheme_01,58.03
2022-12-29,Scheme_01,58.02
2022-12-30,Scheme_01,58.16
2022-12-31,Scheme_01,58.39
2023-01-01,Scheme_01,58.29
2023-01-02,Scheme_01,58.38
2023-01-03,Scheme_01,58.4
2023-01-04,Scheme_01,58.45
2023-01-05,Scheme_01,58.24
2023-01-06,Scheme_01,58.26
2023-01-07,Scheme_01,58.43
2023-01-08,Scheme_01,58.89
2023-01-09,Scheme_01,59.2
2023-01-10,Scheme_01,59.86
2023-01-11,Scheme_01,59.65
2023-01-12,Scheme_01,59.93
2023-01-13,Scheme_01,60.01
2023-01-14,Scheme_01,60.69
2023-01-15,Scheme_01,60.46
2023-01-16,Scheme_01,60.23
2023-01-17,Scheme_01,60.07
2023-01-18,Scheme_01,59.46
2023-01-19,Scheme_01,59.32
2023-01-20,Scheme_01,59.11
2023-01-21,Scheme_01,59.17
2023-01-22,Scheme_01,59.3
2023-01-23,Scheme_01,59.88
2023-01-24,Scheme_01,60.19
2023-01-25,Scheme_01,60.03
2023-01-26,Scheme_01,59.78
2023-01-27,Scheme_01,59.95
2023-01-28,Scheme_01,59.57
2023-01-29,Scheme_01,60.14
2023-01-30,Scheme_01,60.52
2023-01-31,Scheme_01,60.4
2023-02-01,Scheme_01,59.9
2023-02-02,Scheme_01,60.33
2023-02-03,Scheme_01,60.31
2023-02-04,Scheme_01,60.71
2023-02-05,Scheme_01,60.25
2023-02-06,Scheme_01,60.09
2023-02-07,Scheme_01,60.11
2023-02-08,Scheme_01,60.14
2023-02-09,Scheme_01,60.03
2023-02-10,Scheme_01,60.24
2023-02-11,Scheme_01,59.93
2023-02-12,Scheme_01,59.91
2023-02-13,Scheme_01,59.97
2023-02-14,Scheme_01,60.14
2023-02-15,Scheme_01,60.38
2023-02-16,Scheme_01,60.06
2023-02-17,Scheme_01,59.62
2023-02-18,Scheme_01,60.02
2023-02-19,Scheme_01,60.14
2023-02-20,Scheme_01,59.94
2023-02-21,Scheme_01,60.42
2023-02-22,Scheme_01,60.48
2023-02-23,Scheme_01,60.85
2023-02-24,Scheme_01,60.89
2023-02-25,Scheme_01,61.53
2023-02-26,Scheme_01,62.08
2023-02-27,Scheme_01,62.02
2023-02-28,Scheme_01,62.33
2023-03-01,Scheme_01,62.55
2023-03-02,Scheme_01,62.98
2023-03-03,Scheme_01,62.71
2023-03-04,Scheme_01,62.93
2023-03-05,Scheme_01,63.27
2023-03-06,Scheme_01,62.76
2023-03-07,Scheme_01,62.43
2023-03-08,Scheme_01,61.84
2023-03-09,Scheme_01,61.78
2023-03-10,Scheme_01,62.01
2023-03-11,Scheme_01,62.48
2023-03-12,Scheme_01,62.52
2023-03-13,Scheme_01,63.03
2023-03-14,Scheme_01,62.64
2023-03-15,Scheme_01,62.15
2023-03-16,Scheme_01,62.15
2023-03-17,Scheme_01,62.29
2023-03-18,Scheme_01,62.3
2023-03-19,Scheme_01,61.7
2023-03-20,Scheme_01,61.69
2023-03-21,Scheme_01,61.32
2023-03-22,Scheme_01,61.54
2023-03-23,Scheme_01,61.67
2023-03-24,Scheme_01,61.41
2023-03-25,Scheme_01,61.27
2023-03-26,Scheme_01,60.97
2023-03-27,Scheme_01,60.98
2023-03-28,Scheme_01,61.28
2023-03-29,Scheme_01,61.01
2023-03-30,Scheme_01,61.18
2023-03-31,Scheme_01,61.04
2023-04-01,Scheme_01,60.82
2023-04-02,Scheme_01,60.81
2023-04-03,Scheme_01,60.52
2023-04-04,Scheme_01,60.37
2023-04-05,Scheme_01,60.03
2023-04-06,Scheme_01,60.64
2023-04-07,Scheme_01,60.67
2023-04-08,Scheme_01,60.48
2023-04-09,Scheme_01,60.57
2023-04-10,Scheme_01,60.55
2023-04-11,Scheme_01,60.51
2023-04-12,Scheme_01,60.71
2023-04-13,Scheme_01,60.96
2023-04-14,Scheme_01,60.82
2023-04-15,Scheme_01,60.67
2023-04-16,Scheme_01,60.6
2023-04-17,Scheme_01,59.93
2023-04-18,Scheme_01,59.5
2023-04-19,Scheme_01,59.93
2023-04-20,Scheme_01,60.44
2023-04-21,Scheme_01,60.39
2023-04-22,Scheme_01,60.58
2023-04-23,Scheme_01,60.69
2023-04-24,Scheme_01,61.64
2023-04-25,Scheme_01,61.99
2023-04-26,Scheme_01,61.98
2023-04-27,Scheme_01,61.71
2023-04-28,Scheme_01,61.25
2023-04-29,Scheme_01,61.33
2023-04-30,Scheme_01,61.12
2023-05-01,Scheme_01,60.71
2023-05-02,Scheme_01,60.54
2023-05-03,Scheme_01,60.24
2023-05-04,Scheme_01,60.76
2023-05-05,Scheme_01,61.05
2023-05-06,Scheme_01,61.06
2023-05-07,Scheme_01,61.53
2023-05-08,Scheme_01,61.57
2023-05-09,Scheme_01,61.33
2023-05-10,Scheme_01,61.81
2023-05-11,Scheme_01,61.99
2023-05-12,Scheme_01,61.7
2023-05-13,Scheme_01,61.66
2023-05-14,Scheme_01,61.42
2023-05-15,Scheme_01,61.03
2023-05-16,Scheme_01,61.32
2023-05-17,Scheme_01,61.92
2023-05-18,Scheme_01,61.52
2023-05-19,Scheme_01,61.71
2023-05-20,Scheme_01,61.53
2023-05-21,Scheme_01,61.4
2023-05-22,Scheme_01,61.25
2023-05-23,Scheme_01,61.01
2023-05-24,Scheme_01,61.04
2023-05-25,Scheme_01,60.81
2023-05-26,Scheme_01,60.91
2023-05-27,Scheme_01,60.92
2023-05-28,Scheme_01,60.87
2023-05-29,Scheme_01,60.61
2023-05-30,Scheme_01,60.46
2023-05-31,Scheme_01,60.71
2023-06-01,Scheme_01,60.88
2023-06-02,Scheme_01,60.61
2023-06-03,Scheme_01,60.66
2023-06-04,Scheme_01,60.9
2023-06-05,Scheme_01,60.42
2023-06-06,Scheme_01,60.6
2023-06-07,Scheme_01,60.42
2023-06-08,Scheme_01,60.62
2023-06-09,Scheme_01,60.41
2023-06-10,Scheme_01,59.88
2023-06-11,Scheme_01,59.42
2023-06-12,Scheme_01,59.45
2023-06-13,Scheme_01,59.55
2023-06-14,Scheme_01,59.3
2023-06-15,Scheme_01,59.51
2023-06-16,Scheme_01,59.03
2023-06-17,Scheme_01,59.03
2023-06-18,Scheme_01,58.69
2023-06-19,Scheme_01,58.51
2023-06-20,Scheme_01,58.55
2023-06-21,Scheme_01,58.31
2023-06-22,Scheme_01,58.21
2023-06-23,Scheme_01,58.53
2023-06-24,Scheme_01,58.38
2023-06-25,Scheme_01,58.65
2023-06-26,Scheme_01,58.33
2023-06-27,Scheme_01,58.51
2023-06-28,Scheme_01,58.96
2023-06-29,Scheme_01,58.24
2023-06-30,Scheme_01,58.02
2023-07-01,Scheme_01,58.22
2023-07-02,Scheme_01,58.18
2023-07-03,Scheme_01,58.31
2023-07-04,Scheme_01,58.15
2023-07-05,Scheme_01,58.19
2023-07-06,Scheme_01,58.17
2023-07-07,Scheme_01,58.54
2023-07-08,Scheme_01,58.63
2023-07-09,Scheme_01,58.75
2023-07-10,Scheme_01,58.65
2023-07-11,Scheme_01,58.52
2023-07-12,Scheme_01,58.41
2023-07-13,Scheme_01,58.55
2023-07-14,Scheme_01,58.45
2023-07-15,Scheme_01,58.55
2023-07-16,Scheme_01,59.2
2023-07-17,Scheme_01,59.48
2023-07-18,Scheme_01,59.4
2023-07-19,Scheme_01,59.78
2023-07-20,Scheme_01,59.68
2023-07-21,Scheme_01,59.09
2023-07-22,Scheme_01,58.8
2023-07-23,Scheme_01,58.26
2023-07-24,Scheme_01,58.18
2023-07-25,Scheme_01,58.2
2023-07-26,Scheme_01,58.73
2023-07-27,Scheme_01,58.84
2023-07-28,Scheme_01,58.8
2023-07-29,Scheme_01,59.07
2023-07-30,Scheme_01,58.42
2023-07-31,Scheme_01,58.51
2023-08-01,Scheme_01,58.76
2023-08-02,Scheme_01,58.34
2023-08-03,Scheme_01,58.7
2023-08-04,Scheme_01,58.83
2023-08-05,Scheme_01,58.72
2023-08-06,Scheme_01,58.93
2023-08-07,Scheme_01,59.63
2023-08-08,Scheme_01,59.71
2023-08-09,Scheme_01,59.8
2023-08-10,Scheme_01,59.68
2023-08-11,Scheme_01,59.45
2023-08-12,Scheme_01,59.72
2023-08-13,Scheme_01,59.48
2023-08-14,Scheme_01,59.52
2023-08-15,Scheme_01,59.4
2023-08-16,Scheme_01,59.56
2023-08-17,Scheme_01,59.68
2023-08-18,Scheme_01,60.01
2023-08-19,Scheme_01,59.88
2023-08-20,Scheme_01,59.82
2023-08-21,Scheme_01,59.55
2023-08-22,Scheme_01,59.43
2023-08-23,Scheme_01,59.57
2023-08-24,Scheme_01,59.81
2023-08-25,Scheme_01,59.56
2023-08-26,Scheme_01,59.84
2023-08-27,Scheme_01,60.26
2023-08-28,Scheme_01,60.41
2023-08-29,Scheme_01,60.99
2023-08-30,Scheme_01,60.78
2023-08-31,Scheme_01,60.43
2023-09-01,Scheme_01,59.91
2023-09-02,Scheme_01,60.38
2023-09-03,Scheme_01,60.6
2023-09-04,Scheme_01,60.6
2023-09-05,Scheme_01,60.7
2023-09-06,Scheme_01,60.39
2023-09-07,Scheme_01,61.14
2023-09-08,Scheme_01,61.2
2023-09-09,Scheme_01,61.25
2023-09-10,Scheme_01,61.49
2023-09-11,Scheme_01,61.65
2023-09-12,Scheme_01,61.74
2023-09-13,Scheme_01,61.52
2023-09-14,Scheme_01,61.69
2023-09-15,Scheme_01,62.27
2023-09-16,Scheme_01,62.69
2023-09-17,Scheme_01,63.19
2023-09-18,Scheme_01,63.06
2023-09-19,Scheme_01,62.78
2023-09-20,Scheme_01,62.76
2023-09-21,Scheme_01,62.8
2023-09-22,Scheme_01,63.15
2023-09-23,Scheme_01,62.66
2023-09-24,Scheme_01,63.14
2023-09-25,Scheme_01,63.11
2023-09-26,Scheme_01,63.0
2023-09-27,Scheme_01,62.72
2023-09-28,Scheme_01,62.24
2023-09-29,Scheme_01,62.51
2023-09-30,Scheme_01,62.55
2023-10-01,Scheme_01,62.19
2023-10-02,Scheme_01,61.82
2023-10-03,Scheme_01,61.74
2023-10-04,Scheme_01,62.26
2023-10-05,Scheme_01,62.2
2023-10-06,Scheme_01,61.77
2023-10-07,Scheme_01,61.72
2023-10-08,Scheme_01,61.65
2023-10-09,Scheme_01,60.86
2023-10-10,Scheme_01,60.87
2023-10-11,Scheme_01,60.82
2023-10-12,Scheme_01,61.05
2023-10-13,Scheme_01,61.62
2023-10-14,Scheme_01,61.98
2023-10-15,Scheme_01,61.92
2023-10-16,Scheme_01,61.61
2023-10-17,Scheme_01,62.4
2023-10-18,Scheme_01,62.44
2023-10-19,Scheme_01,62.46
2023-10-20,Scheme_01,62.47
2023-10-21,Scheme_01,62.55
2023-10-22,Scheme_01,62.53
2023-10-23,Scheme_01,62.38
2023-10-24,Scheme_01,62.23
2023-10-25,Scheme_01,62.24
2023-10-26,Scheme_01,62.1
2023-10-27,Scheme_01,61.91
2023-10-28,Scheme_01,61.96
2023-10-29,Scheme_01,61.9
2023-10-30,Scheme_01,62.37
2023-10-31,Scheme_01,61.6
2023-11-01,Scheme_01,61.95
2023-11-02,Scheme_01,62.34
2023-11-03,Scheme_01,61.74
2023-11-04,Scheme_01,61.66
2023-11-05,Scheme_01,61.56
2023-11-06,Scheme_01,61.16
2023-11-07,Scheme_01,60.95
2023-11-08,Scheme_01,60.64
2023-11-09,Scheme_01,61.18
2023-11-10,Scheme_01,61.48
2023-11-11,Scheme_01,61.88
2023-11-12,Scheme_01,62.12
2023-11-13,Scheme_01,61.8
2023-11-14,Scheme_01,61.66
2023-11-15,Scheme_01,61.83
2023-11-16,Scheme_01,61.48
2023-11-17,Scheme_01,61.72
2023-11-18,Scheme_01,61.67
2023-11-19,Scheme_01,61.57
2023-11-20,Scheme_01,61.81
2023-11-21,Scheme_01,61.96
2023-11-22,Scheme_01,61.87
2023-11-23,Scheme_01,62.24
2023-11-24,Scheme_01,61.94
2023-11-25,Scheme_01,62.14
2023-11-26,Scheme_01,62.34
2023-11-27,Scheme_01,62.27
2023-11-28,Scheme_01,62.38
2023-11-29,Scheme_01,62.03
2023-11-30,Scheme_01,62.32
2023-12-01,Scheme_01,62.29
2023-12-02,Scheme_01,62.15
2023-12-03,Scheme_01,62.49
2023-12-04,Scheme_01,62.3
2023-12-05,Scheme_01,61.89
2023-12-06,Scheme_01,61.45
2023-12-07,Scheme_01,61.65
2023-12-08,Scheme_01,61.28
2023-12-09,Scheme_01,61.83
2023-12-10,Scheme_01,61.23
2023-12-11,Scheme_01,61.75
2023-12-12,Scheme_01,61.84
2023-12-13,Scheme_01,61.83
2023-12-14,Scheme_01,61.69
2023-12-15,Scheme_01,61.83
2023-12-16,Scheme_01,61.83
2023-12-17,Scheme_01,62.19
2023-12-18,Scheme_01,62.24
2023-12-19,Scheme_01,62.3
2023-12-20,Scheme_01,62.22
2023-12-21,Scheme_01,62.22
2023-12-22,Scheme_01,62.33
2023-12-23,Scheme_01,61.84
2023-12-24,Scheme_01,61.45
2023-12-25,Scheme_01,61.7
2023-12-26,Scheme_01,61.77
2023-12-27,Scheme_01,61.73
2023-12-28,Scheme_01,61.76
2023-12-29,Scheme_01,61.88
2023-12-30,Scheme_01,61.74
2023-12-31,Scheme_01,61.53
2024-01-01,Scheme_01,61.61
2024-01-02,Scheme_01,61.33
2024-01-03,Scheme_01,61.47
2024-01-04,Scheme_01,60.98
2024-01-05,Scheme_01,61.31
2024-01-06,Scheme_01,61.47
2024-01-07,Scheme_01,61.57
2024-01-08,Scheme_01,61.89
2024-01-09,Scheme_01,62.41
2024-01-10,Scheme_01,62.73
2024-01-11,Scheme_01,62.2
2024-01-12,Scheme_01,61.83
2024-01-13,Scheme_01,61.67
2024-01-14,Scheme_01,61.69
2024-01-15,Scheme_01,61.87
2024-01-16,Scheme_01,61.67
2024-01-17,Scheme_01,61.75
2024-01-18,Scheme_01,61.54
2024-01-19,Scheme_01,61.38
2024-01-20,Scheme_01,60.98
2024-01-21,Scheme_01,60.72
2024-01-22,Scheme_01,60.33
2024-01-23,Scheme_01,60.06
2024-01-24,Scheme_01,60.4
2024-01-25,Scheme_01,60.13
2024-01-26,Scheme_01,60.94
2024-01-27,Scheme_01,61.11
2024-01-28,Scheme_01,61.18
2024-01-29,Scheme_01,60.95
2024-01-30,Scheme_01,61.18
2024-01-31,Scheme_01,61.02
2024-02-01,Scheme_01,61.08
2024-02-02,Scheme_01,61.87
2024-02-03,Scheme_01,61.86
2024-02-04,Scheme_01,62.23
2024-02-05,Scheme_01,62.03
2024-02-06,Scheme_01,62.04
2024-02-07,Scheme_01,62.59
2024-02-08,Scheme_01,62.43
2024-02-09,Scheme_01,62.99
2024-02-10,Scheme_01,63.22
2024-02-11,Scheme_01,63.07
2024-02-12,Scheme_01,63.28
2024-02-13,Scheme_01,63.6
2024-02-14,Scheme_01,63.8
2024-02-15,Scheme_01,63.35
